2022-03-03 15:03:46,167 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:03:46,463 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:04:49,544 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:04:49,870 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:07:48,498 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:07:48,850 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:08:53,907 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:08:54,252 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:09:32,297 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:09:32,658 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:11:12,936 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:11:13,281 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:11:13,299 - movie_logger - INFO - 1-클라우스영화 제목 클릭... :
2022-03-03 15:11:14,135 - movie_logger - INFO - 영화 평점 클릭...
2022-03-03 15:11:14,153 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-03 15:11:14,169 - movie_logger - INFO - iframe으로 전환...
2022-03-03 15:11:17,045 - movie_logger - INFO - 68,클라우스
2022-03-03 15:11:17,075 - movie_logger - INFO - 69,클라우스
2022-03-03 15:11:17,106 - movie_logger - INFO - 70,클라우스
2022-03-03 15:11:17,229 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:17,272 - movie_logger - INFO - 71,클라우스
2022-03-03 15:11:17,303 - movie_logger - INFO - 72,클라우스
2022-03-03 15:11:17,333 - movie_logger - INFO - 73,클라우스
2022-03-03 15:11:17,364 - movie_logger - INFO - 74,클라우스
2022-03-03 15:11:17,394 - movie_logger - INFO - 75,클라우스
2022-03-03 15:11:17,424 - movie_logger - INFO - 76,클라우스
2022-03-03 15:11:17,454 - movie_logger - INFO - 77,클라우스
2022-03-03 15:11:17,484 - movie_logger - INFO - 78,클라우스
2022-03-03 15:11:17,514 - movie_logger - INFO - 79,클라우스
2022-03-03 15:11:17,546 - movie_logger - INFO - 80,클라우스
2022-03-03 15:11:17,678 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:17,713 - movie_logger - INFO - 81,클라우스
2022-03-03 15:11:17,746 - movie_logger - INFO - 82,클라우스
2022-03-03 15:11:17,778 - movie_logger - INFO - 83,클라우스
2022-03-03 15:11:17,807 - movie_logger - INFO - 84,클라우스
2022-03-03 15:11:17,836 - movie_logger - INFO - 85,클라우스
2022-03-03 15:11:17,865 - movie_logger - INFO - 86,클라우스
2022-03-03 15:11:17,896 - movie_logger - INFO - 87,클라우스
2022-03-03 15:11:17,927 - movie_logger - INFO - 88,클라우스
2022-03-03 15:11:17,958 - movie_logger - INFO - 89,클라우스
2022-03-03 15:11:17,990 - movie_logger - INFO - 90,클라우스
2022-03-03 15:11:18,113 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:18,150 - movie_logger - INFO - 91,클라우스
2022-03-03 15:11:18,180 - movie_logger - INFO - 92,클라우스
2022-03-03 15:11:18,213 - movie_logger - INFO - 93,클라우스
2022-03-03 15:11:18,243 - movie_logger - INFO - 94,클라우스
2022-03-03 15:11:18,272 - movie_logger - INFO - 95,클라우스
2022-03-03 15:11:18,302 - movie_logger - INFO - 96,클라우스
2022-03-03 15:11:18,331 - movie_logger - INFO - 97,클라우스
2022-03-03 15:11:18,361 - movie_logger - INFO - 98,클라우스
2022-03-03 15:11:18,392 - movie_logger - INFO - 99,클라우스
2022-03-03 15:11:18,421 - movie_logger - INFO - 100,클라우스
2022-03-03 15:11:18,554 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:18,589 - movie_logger - INFO - 101,클라우스
2022-03-03 15:11:18,622 - movie_logger - INFO - 102,클라우스
2022-03-03 15:11:18,655 - movie_logger - INFO - 103,클라우스
2022-03-03 15:11:18,690 - movie_logger - INFO - 104,클라우스
2022-03-03 15:11:18,732 - movie_logger - INFO - 105,클라우스
2022-03-03 15:11:18,763 - movie_logger - INFO - 106,클라우스
2022-03-03 15:11:18,794 - movie_logger - INFO - 107,클라우스
2022-03-03 15:11:18,823 - movie_logger - INFO - 108,클라우스
2022-03-03 15:11:18,853 - movie_logger - INFO - 109,클라우스
2022-03-03 15:11:18,884 - movie_logger - INFO - 110,클라우스
2022-03-03 15:11:19,028 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:19,064 - movie_logger - INFO - 111,클라우스
2022-03-03 15:11:19,096 - movie_logger - INFO - 112,클라우스
2022-03-03 15:11:19,129 - movie_logger - INFO - 113,클라우스
2022-03-03 15:11:19,162 - movie_logger - INFO - 114,클라우스
2022-03-03 15:11:19,195 - movie_logger - INFO - 115,클라우스
2022-03-03 15:11:19,227 - movie_logger - INFO - 116,클라우스
2022-03-03 15:11:19,260 - movie_logger - INFO - 117,클라우스
2022-03-03 15:11:19,290 - movie_logger - INFO - 118,클라우스
2022-03-03 15:11:19,322 - movie_logger - INFO - 119,클라우스
2022-03-03 15:11:19,353 - movie_logger - INFO - 120,클라우스
2022-03-03 15:11:19,485 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:19,524 - movie_logger - INFO - 121,클라우스
2022-03-03 15:11:19,557 - movie_logger - INFO - 122,클라우스
2022-03-03 15:11:19,588 - movie_logger - INFO - 123,클라우스
2022-03-03 15:11:19,619 - movie_logger - INFO - 124,클라우스
2022-03-03 15:11:19,651 - movie_logger - INFO - 125,클라우스
2022-03-03 15:11:19,683 - movie_logger - INFO - 126,클라우스
2022-03-03 15:11:19,715 - movie_logger - INFO - 127,클라우스
2022-03-03 15:11:19,747 - movie_logger - INFO - 128,클라우스
2022-03-03 15:11:19,779 - movie_logger - INFO - 129,클라우스
2022-03-03 15:11:19,814 - movie_logger - INFO - 130,클라우스
2022-03-03 15:11:19,945 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:19,981 - movie_logger - INFO - 131,클라우스
2022-03-03 15:11:20,015 - movie_logger - INFO - 132,클라우스
2022-03-03 15:11:20,047 - movie_logger - INFO - 133,클라우스
2022-03-03 15:11:20,080 - movie_logger - INFO - 134,클라우스
2022-03-03 15:11:20,112 - movie_logger - INFO - 135,클라우스
2022-03-03 15:11:20,143 - movie_logger - INFO - 136,클라우스
2022-03-03 15:11:20,176 - movie_logger - INFO - 137,클라우스
2022-03-03 15:11:20,208 - movie_logger - INFO - 138,클라우스
2022-03-03 15:11:20,240 - movie_logger - INFO - 139,클라우스
