2022-03-07 17:03:29,641 - movie_logger - INFO - °¡»ó ºê¶ó¿ìÀú ½ÇÇà...
2022-03-07 17:03:29,978 - movie_logger - INFO - ³×ÀÌ¹ö ¿µÈ­ ·©Å· 1ÆäÀÌÁö ÀÌµ¿...
2022-03-07 17:03:29,998 - movie_logger - INFO - 50-¾Ë¶óµò¿µÈ­ Á¦¸ñ Å¬¸¯... :
2022-03-07 17:03:31,148 - movie_logger - INFO - ¿µÈ­ ÆòÁ¡ Å¬¸¯...
2022-03-07 17:03:31,168 - movie_logger - INFO - ¿µÈ­ Á¦¸ñ ¼öÁý : ¾Ë¶óµò
2022-03-07 17:03:31,185 - movie_logger - INFO - iframeÀ¸·Î ÀüÈ¯...
2022-03-07 17:03:34,075 - movie_logger - INFO - 63,¾Ë¶óµò
2022-03-07 17:03:34,105 - movie_logger - INFO - 64,¾Ë¶óµò
2022-03-07 17:03:34,137 - movie_logger - INFO - 65,¾Ë¶óµò
2022-03-07 17:03:34,166 - movie_logger - INFO - 66,¾Ë¶óµò
2022-03-07 17:03:34,197 - movie_logger - INFO - 67,¾Ë¶óµò
2022-03-07 17:03:34,229 - movie_logger - INFO - 68,¾Ë¶óµò
2022-03-07 17:03:34,260 - movie_logger - INFO - 69,¾Ë¶óµò
2022-03-07 17:03:34,290 - movie_logger - INFO - 70,¾Ë¶óµò
2022-03-07 17:03:34,434 - movie_logger - INFO - ´ÙÀ½ ÆäÀÌÁö Å¬¸¯...
2022-03-07 17:03:34,470 - movie_logger - INFO - 71,¾Ë¶óµò
2022-03-07 17:03:34,500 - movie_logger - INFO - 72,¾Ë¶óµò
2022-03-07 17:03:34,530 - movie_logger - INFO - 73,¾Ë¶óµò
2022-03-07 17:03:34,560 - movie_logger - INFO - 74,¾Ë¶óµò
2022-03-07 17:03:34,592 - movie_logger - INFO - 75,¾Ë¶óµò
2022-03-07 17:03:34,626 - movie_logger - INFO - 76,¾Ë¶óµò
2022-03-07 17:03:34,658 - movie_logger - INFO - 77,¾Ë¶óµò
2022-03-07 17:03:34,690 - movie_logger - INFO - 78,¾Ë¶óµò
2022-03-07 17:03:34,719 - movie_logger - INFO - 79,¾Ë¶óµò
2022-03-07 17:03:34,752 - movie_logger - INFO - 80,¾Ë¶óµò
2022-03-07 17:03:34,891 - movie_logger - INFO - ´ÙÀ½ ÆäÀÌÁö Å¬¸¯...
2022-03-07 17:03:34,928 - movie_logger - INFO - 81,¾Ë¶óµò
2022-03-07 17:03:34,961 - movie_logger - INFO - 82,¾Ë¶óµò
2022-03-07 17:03:34,991 - movie_logger - INFO - 83,¾Ë¶óµò
2022-03-07 17:03:35,021 - movie_logger - INFO - 84,¾Ë¶óµò
2022-03-07 17:03:35,052 - movie_logger - INFO - 85,¾Ë¶óµò
2022-03-07 17:03:35,084 - movie_logger - INFO - 86,¾Ë¶óµò
2022-03-07 17:03:35,118 - movie_logger - INFO - 87,¾Ë¶óµò
2022-03-07 17:03:35,149 - movie_logger - INFO - 88,¾Ë¶óµò
2022-03-07 17:03:35,180 - movie_logger - INFO - 89,¾Ë¶óµò
2022-03-07 17:03:35,212 - movie_logger - INFO - 90,¾Ë¶óµò
2022-03-07 17:03:35,356 - movie_logger - INFO - ´ÙÀ½ ÆäÀÌÁö Å¬¸¯...
2022-03-07 17:03:35,395 - movie_logger - INFO - 91,¾Ë¶óµò
2022-03-07 17:03:35,428 - movie_logger - INFO - 92,¾Ë¶óµò
2022-03-07 17:03:35,459 - movie_logger - INFO - 93,¾Ë¶óµò
2022-03-07 17:03:35,489 - movie_logger - INFO - 94,¾Ë¶óµò
2022-03-07 17:03:35,520 - movie_logger - INFO - 95,¾Ë¶óµò
2022-03-07 17:03:35,552 - movie_logger - INFO - 96,¾Ë¶óµò
2022-03-07 17:03:35,583 - movie_logger - INFO - 97,¾Ë¶óµò
2022-03-07 17:03:35,615 - movie_logger - INFO - 98,¾Ë¶óµò
2022-03-07 17:03:35,647 - movie_logger - INFO - 99,¾Ë¶óµò
2022-03-07 17:03:35,680 - movie_logger - INFO - 100,¾Ë¶óµò
2022-03-07 17:03:35,824 - movie_logger - INFO - ´ÙÀ½ ÆäÀÌÁö Å¬¸¯...
2022-03-07 17:03:35,860 - movie_logger - INFO - 101,¾Ë¶óµò
2022-03-07 17:03:35,893 - movie_logger - INFO - 102,¾Ë¶óµò
2022-03-07 17:03:35,925 - movie_logger - INFO - 103,¾Ë¶óµò
2022-03-07 17:03:35,958 - movie_logger - INFO - 104,¾Ë¶óµò
2022-03-07 17:03:35,990 - movie_logger - INFO - 105,¾Ë¶óµò
2022-03-07 17:03:36,022 - movie_logger - INFO - 106,¾Ë¶óµò
2022-03-07 17:03:36,054 - movie_logger - INFO - 107,¾Ë¶óµò
2022-03-07 17:03:36,086 - movie_logger - INFO - 108,¾Ë¶óµò
2022-03-07 17:03:36,118 - movie_logger - INFO - 109,¾Ë¶óµò
2022-03-07 17:03:36,149 - movie_logger - INFO - 110,¾Ë¶óµò
2022-03-07 17:03:36,289 - movie_logger - INFO - ´ÙÀ½ ÆäÀÌÁö Å¬¸¯...
2022-03-07 17:03:36,328 - movie_logger - INFO - 111,¾Ë¶óµò
2022-03-07 17:03:36,361 - movie_logger - INFO - 112,¾Ë¶óµò
2022-03-07 17:03:36,393 - movie_logger - INFO - 113,¾Ë¶óµò
2022-03-07 17:03:36,427 - movie_logger - INFO - 114,¾Ë¶óµò
2022-03-07 17:03:36,460 - movie_logger - INFO - 115,¾Ë¶óµò
2022-03-07 17:03:36,492 - movie_logger - INFO - 116,¾Ë¶óµò
2022-03-07 17:03:36,524 - movie_logger - INFO - 117,¾Ë¶óµò
2022-03-07 17:03:36,557 - movie_logger - INFO - 118,¾Ë¶óµò
2022-03-07 17:03:36,589 - movie_logger - INFO - 119,¾Ë¶óµò
2022-03-07 17:03:36,622 - movie_logger - INFO - 120,¾Ë¶óµò
2022-03-07 17:03:36,770 - movie_logger - INFO - ´ÙÀ½ ÆäÀÌÁö Å¬¸¯...
2022-03-07 17:03:36,810 - movie_logger - INFO - 121,¾Ë¶óµò
